TestID,User,Password,PreOwnedSku,PickupAtStore,HoldPreOwned,StoreZip,ReUser,RePassword,PhoneNumber,EmailAddStart,Fullname,Lastname,Country,Address,City,State,ZipCode,EmailAddress,GiftCardNumber,GCPin,PowerUpCcNumber,PowerUpCcPin,PromoCode,PaypalUser,PaypalPassword,SaveEstimateSKU,CCNumber,CVVNumber,CCExpiry,PreOrderSku,NewSku,DownloadSku,OnlineSku,StoreAddress,PaymentCardType,PromoCode2,PromoCode3,PURAddress1,PURAddress2,PURZip,PURCity,PURState,CouponToRedeem,MerchToRedeem,DigitalToRedeem,SweepToRedeem
82323,bf_gsdc216@qagsecomprod.oib.com,T3sting123,,FALSE,FALSE,,bf_gsdc216@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82325,bf_gsdc216@qagsecomprod.oib.com,T3sting123,,FALSE,FALSE,,bf_gsdc216@qagsecomprod.oib.com,T3sting1,2141234567,bf_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40953,bf_gsdc211@qagsecomprod.oib.com,T3sting1,922095,TRUE,TRUE,76051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11111,bf_gsdc216@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22222,bf_gsdc220@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33333,bf_gsdc211@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68498,bf_gsdc210@qagsecomprod.oib.com,T3sting1,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,230647,103722,,,,,,,,,,,,,,,
69277,bf_gsdc211@qagsecomprod.oib.com,T3sting1,952002,,,,,,,,,,,,,,,,6006493711999901181,9905,,,,,,,,,,,,,,,,,,,,,,,,,,
69279,,,952002,FALSE,FALSE,,,,8178178172,,Accept,Test,United States of America,UNIT 2050 BOX 490,APO,Armed Forces - Americas,96522,sample@sample.com,6006493711999901181,9905,,,,,,,,,,,,,,,,,,,,,,,,,,
69278,,,952002,FALSE,FALSE,,,,8178178172,,Accept,Test,United States of America,UNIT 2050 BOX 490,APO,Armed Forces - Americas,96522,sample@sample.com,6006493711999901181,9905,,,,,,,,,,,,,,,,,,,,,,,,,,
68636,bf_gsdc241@qagsecomprod.oib.com,T3sting1,952002,,,,,,8178178172,,Accept,Test,United States of America,Unit 2050 BOX 490,APO,Armed Forces - Americas,96522,sample@sample.com,,,,,,bf_gsdc222@qagsecomprod.oib.com,T3sting!@#,,,,,,,,,,,,,,,,,,,,,
40935,bf_gsdc211@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40805,bf_gsdc210@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,75038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42420,bf_gsdc210@qagsecomprod.oib.com,T3sting1,952002,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41273,bf_gsdc211@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40923,bf_gsdc216@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,952002,,,,,,,,,,,,,,,,,,,,
40931,bf_gsdc216@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40956,,,922095,TRUE,TRUE,76051,,,8178178172,,Accept,Test,,,,,,sample@sample.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66624,bf_gsdc211@qagsecomprod.oib.com,T3sting1,952002,FALSE,FALSE,,,,8178178172,,Accept,Test,United States of America,UNIT 2050 BOX 490,APO,Armed Forces - Americas,96522,sample@sample.com,6006493711999901181,9905,,,,,,,,,,,,,,,,,,,,,,,,,,
67322,bf_gsdc210@qagsecomprod.oib.com,T3sting1,952002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68705,bf_gsdc211@qagsecomprod.oib.com,T3sting1,952002,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,5555555555554444,123,1118,,,,,,,,,,,,,,,,,
68707,bf_gsdc211@qagsecomprod.oib.com,T3sting1,952002,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68804,bf_gsdc211@qagsecomprod.oib.com,T3sting1,,,,75603,,,,,,,,,,,,,,,,,,,,,,,,270398,103722,,,LONGVIEW MALL - GAMESTOP,,,,,,,,,,,,
69213,bf_gsdc210@qagsecomprod.oib.com,T3sting1,952002,,,,,,,,,,,,,,,,,,,,,,,,4378784920780900,123,1118,,,,,,,,,,,,,,,,,
69474,bf_gsdc211@qagsecomprod.oib.com,T3sting1,952002,,,,,,,,,,,,,,,,,,,,EcomQAUseONLY-1,,,,,,,,,,,,,,,,,,,,,,,
69593,bf_gsdc211@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101344,,,,AmericanExpress,,,,,,,,,,,
69631,bf_gsdc211@qagsecomprod.oib.com,T3sting1,952002,,,,,,,,,,,,,,,,,,6364913880999911741,7232,,,,,,,,,,,,,,,,,,,,,,,,
69659,bf_gsdc211@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101344,,,,AmericanExpress,,,,,,,,,,,
69875,bf_gsdc211@qagsecomprod.oib.com,T3sting1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601400,,,,,,,,,,,,,,
88482,bf_gsdc211@qagsecomprod.oib.com,T3sting1,952002,,,,,,,,,,,,,,,,,,,,,,,,5555555555554444,123,1118,,,,,,,,,,,,,,,,,
40806,,,,,,75126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
